Candidate_Rank,Candidate_Tier,Selection_Score,Predicted_FXA_pKi,RF_Tree_Uncertainty,MW,cLogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,QED,SMILES,Canonical_Flat_SMILES
1,Tier_1_pKi_ge_8_druglike,8.17853599940723,8.11639404877027,1.290277130671897,366.851,3.353200000000002,68.17,1,4,4,23,0.7694224666098698,O=c1ccccn1-c1ccc(NS(=O)(=O)c2ccc(Cl)s2)cc1,O=c1ccccn1-c1ccc(NS(=O)(=O)c2ccc(Cl)s2)cc1
2,Tier_1_pKi_ge_8_druglike,7.7172965768019965,8.114685096041361,2.0443710352969986,464.4040000000002,2.6347700000000005,163.35,4,5,8,33,0.2274084791697685,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)N=c2cc(CCCCC(=O)O)o[nH]2)c1,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)N=c2cc(CCCCC(=O)O)o[nH]2)c1
3,Tier_2_pKi_7p5_to_8_druglike,7.525189312248539,7.879111678600311,1.7033629584997598,572.6720000000003,4.342870000000002,173.16,5,6,7,40,0.1438367465463361,Cn1c(C(=O)Nc2ccc(C(=N)N)cc2)cc2cc(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)sc21,Cn1c(C(=O)Nc2ccc(C(=N)N)cc2)cc2cc(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)sc21
4,Tier_2_pKi_7p5_to_8_druglike,7.63953354326043,7.854192399342854,1.6607898133872698,528.5390000000001,4.598370000000004,121.62,2,6,4,38,0.401077194528786,Cn1c(C2CCCCC2)nnc1C1CCCN1C(=O)c1cc(C(F)(F)F)nn1-c1ccc2o[nH]c(=N)c2c1,Cn1c(C2CCCCC2)nnc1C1CCCN1C(=O)c1cc(C(F)(F)F)nn1-c1ccc2o[nH]c(=N)c2c1
5,Tier_2_pKi_7p5_to_8_druglike,7.622291994979415,7.711248686451381,1.320507640851878,386.8280000000001,1.8079,96.31,0,7,5,26,0.4823404374820071,O=c1n(CSc2nnnn2-c2ccccc2)nnn1-c1ccc(Cl)cc1,O=c1n(CSc2nnnn2-c2ccccc2)nnn1-c1ccc(Cl)cc1
6,Tier_2_pKi_7p5_to_8_druglike,7.736717320877627,7.7063453270276385,1.5267321852687656,380.18700000000007,2.5650000000000004,88.6,1,5,4,25,0.8241100803343601,COc1ncc(Cl)cc1NC(=O)CN1C(=O)C(=O)c2cc(Cl)ccc21,COc1ncc(Cl)cc1NC(=O)CN1C(=O)C(=O)c2cc(Cl)ccc21
7,Tier_2_pKi_7p5_to_8_druglike,7.506961458737659,7.705741723855336,1.557300814635986,496.45800000000025,3.664200000000002,136.35,2,6,5,37,0.381089877082639,NC(=O)c1nn(-c2ccccc2)c2c1C(=O)N(c1ccc(NC(=O)c3noc4ccc(F)cc34)cc1)C2,NC(=O)c1nn(-c2ccccc2)c2c1C(=O)N(c1ccc(NC(=O)c3noc4ccc(F)cc34)cc1)C2
8,Tier_2_pKi_7p5_to_8_druglike,7.549596292375133,7.67618526204427,1.5146051119021835,527.8360000000001,4.018300000000002,90.98,2,6,8,34,0.5041246166128192,CCOC(=O)CN1CCN(CC(=O)Nc2c(Cl)cc(Cl)cc2C(=O)Nc2ccc(Cl)cc2)CC1,CCOC(=O)CN1CCN(CC(=O)Nc2c(Cl)cc(Cl)cc2C(=O)Nc2ccc(Cl)cc2)CC1
9,Tier_2_pKi_7p5_to_8_druglike,7.327776490089393,7.626498260243734,1.6108268384203182,495.5420000000002,2.21877,192.55,5,6,5,34,0.2079698789014781,N=C(N)c1sc2c(C(=O)N=c3cc(C(=O)O)cc[nH]3)cc(-c3ccccc3S(N)(=O)=O)ccc1-2,N=C(N)c1sc2c(C(=O)N=c3cc(C(=O)O)cc[nH]3)cc(-c3ccccc3S(N)(=O)=O)ccc1-2
10,Tier_2_pKi_7p5_to_8_druglike,7.447438151059468,7.595505634943644,1.487109608275254,375.436,1.6955699999999991,98.26,3,4,6,28,0.4474198363692762,N=c1cc(-c2c3c(=O)n(CCCN4CC4)[nH]c3nn2-c2ccccc2)cc[nH]1,N=c1cc(-c2c3c(=O)n(CCCN4CC4)[nH]c3nn2-c2ccccc2)cc[nH]1
